id,name,scriptid,scripttype,owner,scriptfile,isinactive
1932,STE SL Roles and Permissions Detail,customscript_ste_sl_rol_perm_detail,SCRIPTLET,17891,799431,F
1927,STE SL Roles and Permissions List,customscript_ste_sl_rol_perm_list,SCRIPTLET,17891,799466,F
1939,STE SL Rounding Group Detail,customscript_ste_sl_roundinggroup_detail,SCRIPTLET,17891,799449,F
1936,STE SL Rounding Group List,customscript_ste_sl_roundinggroup_list,SCRIPTLET,17891,799416,F
1930,STE SL Subsidiary Service,customscript_ste_sl_subsidiary_service,SCRIPTLET,17891,799484,F
1924,STE SL Tax Group Detail,customscript_ste_sl_taxgroup_detail,SCRIPTLET,17891,799438,F
1922,STE SL Tax Group List,customscript_ste_sl_tax_group_list,SCRIPTLET,17891,799452,F
1934,STE SL Tax Reg. Format Detail,customscript_ste_sl_reg_format_detail,SCRIPTLET,17891,799430,F
1937,STE SL Tax Reg. Format List,customscript_ste_sl_reg_format_list,SCRIPTLET,17891,799417,F
1943,STE SL Tax Schedule Detail,customscript_ste_sl_taxschedule_detail,SCRIPTLET,17891,799418,F
1935,STE SL Tax Schedule List,customscript_ste_sl_taxschedule_list,SCRIPTLET,17891,799408,F
1938,STE SL Tax Validation,customscript_ste_sl_tax_validation,SCRIPTLET,17891,799440,F
1923,STE SL Transaction Type,customscript_ste_sl_transaction_type,SCRIPTLET,17891,799437,F
1986,STR Big Data Download,customscript_str_bdownload_su,SCRIPTLET,17891,806993,F
1994,STR Output Data Reader SU,customscript_str_output_data_reader_su,SCRIPTLET,17891,806969,F
1979,STR Recoverability SU,customscript_str_recoverability_su,SCRIPTLET,17891,806978,F
1980,STR Report Job Progress SU,customscript_str_report_job_progress_su,SCRIPTLET,17891,806960,F
1993,STR Roles,customscript_str_roles_su,SCRIPTLET,17891,806977,F
1985,STR TAF SU,customscript_str_taf_su,SCRIPTLET,17891,807004,F
1982,STR Tax Returns Setup,customscript_str_tax_return_setup_su,SCRIPTLET,17891,806983,F
1998,Schema Editor,customscript_str_schema_editor_su,SCRIPTLET,17891,807011,F
87,Search Summary Service,customscript_9997_search_summary_service,SCRIPTLET,5,952,F
1061,Set Commit Value On SO Line Item SL,customscript_pl_set_commit_so_item_sl,SCRIPTLET,4,169986,T
434,Solupay - Synchrony,customscript_solupay_synchrony_ss,SCRIPTLET,2759,3054,F
433,Solupay Amazon Pay,customscript_solupay_amazonpay_ss,SCRIPTLET,2759,3026,F
432,Solupay CDS Customer Inv Email Contacts,customscript_solupay_contacts_selection,SCRIPTLET,2759,3080,F
431,Solupay Credentials,customscript_solupay_credentials_ss,SCRIPTLET,2759,3086,F
430,Solupay Customer Invoice Email,customscript_solupay_cust_inv_email_ss,SCRIPTLET,2759,3044,F
429,Solupay Customer Suite Token GB,customscript_solupay_token_cust_gb_ss,SCRIPTLET,2759,3013,F
428,Solupay Customer Suite Token UI,customscript_solupay_token_cust_ui_ss,SCRIPTLET,2759,3053,F
427,Solupay Deployment Controller,customscript_solupay_deploy_control_ss,SCRIPTLET,2759,3130,F
426,Solupay Deployment Tool,customscript_solupay_deployment_tool_ss,SCRIPTLET,2759,3084,F
425,Solupay Donation,customscript_solupay_donation_ss,SCRIPTLET,2759,3129,F
424,Solupay E-Invoice 2 Cash Email Invoice,customscript_solupay_einvoice_cashema_ss,SCRIPTLET,2759,3128,F
422,Solupay EMV Cloudpay Display Logging,customscript_solupay_emvlogging_ss,SCRIPTLET,2759,3101,F
421,Solupay EMV-ERP,customscript_solupay_emv_erp_ss,SCRIPTLET,2759,3075,F
423,Solupay Email Token Request 2.0,customscript_solupay_emailtokenreq_ss,SCRIPTLET,2759,3144,F
420,Solupay JWT,customscript_solupay_jwt_ss,SCRIPTLET,2759,3072,F
419,Solupay Merchants,customscript_solupay_merchants_ss,SCRIPTLET,2759,3134,F
418,Solupay Payment Token,customscript_solupay_payment_token_ss,SCRIPTLET,2759,3056,F
417,Solupay Payment Token 2.0,customscript_solupay_payment_token2_ss,SCRIPTLET,2759,3058,F
416,Solupay Payment Token Global,customscript_solupay_payment_token_gb_ss,SCRIPTLET,2759,3094,F
415,Solupay Payment Token List,customscript_solupay_paymenttoken_lst_ss,SCRIPTLET,2759,3120,F
414,Solupay Picketing Ticket Void Auth,customscript_solupay_pickticket_void_ss,SCRIPTLET,2759,3093,F
413,Solupay Refund Receipt,customscript_solupay_refund_receipt_ss,SCRIPTLET,2759,3159,F
412,Solupay SCA eCheck,customscript_solupay_sca_echeck_ss,SCRIPTLET,2759,3091,F
411,Solupay Signature Capture,customscript_solupay_sig_capture_ss,SCRIPTLET,2759,3016,F
410,Solupay Suite Token UI,customscript_solupay_suitetoken_ui_ss,SCRIPTLET,2759,3012,F
409,Solupay Token PMT,customscript_solupay_token_pmt_ss,SCRIPTLET,2759,3137,F
408,Solupay Token Request Email,customscript_solupay_tokenreq_email_ss,SCRIPTLET,2759,3089,F
3165,Steal Inventory | Stage 1,customscript_steal_send_to,SCRIPTLET,4,1189786,F
3164,Steal Inventory | Stage 2,customscript_ill_sl_steal_inventory,SCRIPTLET,4,1189785,F
562,StickyNotes Admin Backend Suitelet,customscript_stick_admin_backend_sl,SCRIPTLET,5,4576,F
561,StickyNotes Board Frontend Suitelet,customscript_stick_board_frontend_sl,SCRIPTLET,5,4567,F
567,StickyNotes CSV Export Suitelet,customscript_stick_csvexport_sl,SCRIPTLET,5,4571,F
566,StickyNotes File DnD Suitelet,customscript_stick_file_dnd_sl,SCRIPTLET,5,4577,F
568,StickyNotes File Download Suitelet,customscript_stick_file_dl_sl,SCRIPTLET,5,4577,F
564,StickyNotes Setup,customscript_stick_config_sl,SCRIPTLET,5,4574,F
563,StickyNotes User Backend Suitelet,customscript_stick_user_backend_sl,SCRIPTLET,5,4579,F
565,Stickynotes Generate CSS Suitelet,customscript_stick_generate_css,SCRIPTLET,5,4568,F
315,Stored Inventory - Bin Transfer,customscript315,SCRIPTLET,5,2654,F
320,Stored Inventory - Issue Return SL,customscript320,SCRIPTLET,5,2661,F
309,Stored Inventory Suitelet,customscript154,SCRIPTLET,4,2647,F
3173,Stored Inventory | Reallocator,customscript3173,SCRIPTLET,5,1208581,F
3174,Stored Inventory | Reallocator Hyperlink,customscript_pr_stored_reallocator,SCRIPTLET,5,1208582,F
9,Subsidiary Navigator CSS Suitelet,customscript_snav_generate_css,SCRIPTLET,5,39,F
13,Subsidiary Navigator Service Admin,customscript_snav_service_admin_sl,SCRIPTLET,5,36,F
11,Subsidiary Navigator Service User,customscript_snav_service_user_sl,SCRIPTLET,5,46,F
12,Subsidiary Navigator Suitelet,customscript_snav_suitelet,SCRIPTLET,5,34,F
3336,SuiteQL Runner,customscript_suiteql_runner,SCRIPTLET,17891,1331779,F
683,Suitelet - Move to Hold,customscript683,SCRIPTLET,5,9788,F
308,Suitelet Delivery Slip,customscript160,SCRIPTLET,5,2646,F
3876,TAF Form SU,customscript_str_taf_form_su,SCRIPTLET,-5,1510069,F
4717,TSS Onboarding Rejection/Approval,customscript_tss_id_onboarding_reje_appr,SCRIPTLET,24451,1635793,F
4718,TSS SL VP OCR Trigger Vendor Bills,customscript_tss_sl_vp_ocr_trigger_bills,SCRIPTLET,24451,1635794,F
2002,Tax Filing Authorization SU,customscript_str_tax_filing_auth_su,SCRIPTLET,17891,806989,F
1987,Tax Filing Progress SU,customscript_str_tax_filing_progress_su,SCRIPTLET,17891,807003,F
2001,Tax Filing SU,customscript_str_tax_filing_su,SCRIPTLET,17891,807000,F
1981,Tax Filing Setup,customscript_str_tax_filing_setup,SCRIPTLET,17891,806988,F
4516,Tax Lookup Portlet SL,customscript_tax_lookup_portlet_sl,SCRIPTLET,17891,1622815,F
1990,Test Journal Entry Service SU,customscript_str_journal_entry_svc_su,SCRIPTLET,17891,806976,F
94,Translation Service SU,customscript_8858_translation_service_su,SCRIPTLET,5,1059,F
85,Translation Strings Loader,customscript_strings_loader,SCRIPTLET,5,1017,F
10,Translation Suitelet,customscript_translation_suitelet,SCRIPTLET,5,41,F
2225,USR SS Report Generation,customscript_usr_ss_report_gen,SCRIPTLET,17891,807354,F
2226,USR SS SPA,customscript_usr_ss_spa,SCRIPTLET,17891,807355,F
2815,Update Inbound Pricing SL,customscript_update_inbound_sl,SCRIPTLET,8,1000091,T
3049,Update Inbound Shipment Pricing SL,customscript_pr_sl_update_inbound,SCRIPTLET,4,1142704,F
2806,Update PO ESDs from Vendor,customscript2488,SCRIPTLET,5,991953,F
1992,VAT Drilldown SU,customscript_str_vat_drilldown_su,SCRIPTLET,17891,806965,F
3210,Versapay Auto Script Deployment,customscript_versapay_auto_script_dplymt,SCRIPTLET,17891,1250281,F
407,Versapay CDS Wallet,customscript_versapay_wallet_cds_ss,SCRIPTLET,2759,3098,F
406,Versapay CDS Wallet Addr Exp Date Update,customscript_versapay_wallet_cds_exp_add,SCRIPTLET,2759,3141,F
405,Versapay Customer Dep Set Amount,customscript_versapay_cust_dep_set_am,SCRIPTLET,2759,3036,F
404,Versapay Customer Deposit Request,customscript_versapay_cust_dep_req,SCRIPTLET,2759,3035,F
3215,Versapay Customer Invoice Email,customscript_versapay_cust_inv_email_ss,SCRIPTLET,17891,1250245,F
3205,Versapay EFT Exceptions,customscript_versapay_eft_exceptions_sl,SCRIPTLET,17891,1250220,F
3212,Versapay Ecommerce Payments,customscript_versapay_ecommerce_pays_ss,SCRIPTLET,17891,1250236,F
3216,Versapay Gateway Routes SL,customscript_versapay_gatewayroutes_sl,SCRIPTLET,17891,1250271,F
403,Versapay Invite Contacts SS,customscript_versapay_invite_contacts_ss,SCRIPTLET,2759,3042,F
402,Versapay Invoice Reminder,customscript_versapay_invoice_remindr_ss,SCRIPTLET,2759,3005,F
3204,Versapay Massive Customer Wallet Sync,customscript_versapay_sl_mass_wallet_syn,SCRIPTLET,17891,1250289,F
401,Versapay Reconcile,customscript_versapay_recon_ss,SCRIPTLET,2759,3030,F
