depid,script,deployid,recordtype,isdeployed,status
1484,1263,customdeploy_fam_finalizeleaseprop_su,,T,RELEASED
4251,1264,customdeploy_fam_migrateleasecontract_su,,T,RELEASED
1486,1265,customdeploy_fam_disposal_su,,T,RELEASED
1488,1266,customdeploy_fam_assetcreation_su,,T,RELEASED
1487,1266,customdeploy_fam_assetproposal_su,,T,RELEASED
1489,1267,customdeploy_fam_migrateleasesummary_su,,T,RELEASED
1490,1268,customdeploy_fam_fprsummary_su,,T,RELEASED
1491,1269,customdeploy_fam_assetproposal_custom_su,,T,RELEASED
1492,1270,customdeploy_fam_triggererrorhandling_ss,,T,NOTSCHEDULED
1493,1271,customdeploy_fam_updatealtmethodsubs_ss,,T,NOTSCHEDULED
1494,1272,customdeploy_fam_migratetoprecompute_ss,,T,NOTSCHEDULED
1495,1273,customdeploy_fam_searchjpspecdeprvals_ss,,T,NOTSCHEDULED
1496,1274,customdeploy_fam_renderschedule16_ss,,T,NOTSCHEDULED
1497,1275,customdeploy_fam_trigrptcleanup_ss,,T,NOTSCHEDULED
1498,1275,customdeploy_fam_trigrptcleanup_recur_ss,,T,SCHEDULED
1499,1276,customdeploy_fam_searchregreportszv_ss,,T,NOTSCHEDULED
1500,1277,customdeploy_fam_triggerprocess_ss,,T,NOTSCHEDULED
1501,1278,customdeploy_fam_triggerprecompute_ss,,T,SCHEDULED
1505,1279,customdeploy_fam_diagnosisscan_monthly,,T,SCHEDULED
1504,1279,customdeploy_fam_diagnosisscan_weekly,,T,SCHEDULED
1502,1279,customdeploy_fam_diagnosisscan_ss,,T,NOTSCHEDULED
1503,1279,customdeploy_fam_diagnosisscan_daily,,T,SCHEDULED
1506,1280,customdeploy_fam_renderregreport_ss,,T,NOTSCHEDULED
1507,1281,customdeploy_fam_transferassetscsv_ss,,T,NOTSCHEDULED
1508,1282,customdeploy_fam_searchregreportdata_ss,,T,NOTSCHEDULED
1509,1283,customdeploy_fam_constructsplitdetail_ss,,T,NOTSCHEDULED
1510,1284,customdeploy_fam_renderdeprmonth_ss,,T,NOTSCHEDULED
1511,1285,customdeploy_fam_processmanager_ss,,T,NOTSCHEDULED
1512,1286,customdeploy_fam_diagnosisschedsetup_ss,,T,NOTSCHEDULED
1513,1287,customdeploy_fam_rendersummreport_ss,,T,NOTSCHEDULED
1514,1288,customdeploy_fam_triggerresetsched_ss,,T,SCHEDULED
1515,1289,customdeploy_fam_deletefiles_rs,,T,RELEASED
1516,1290,customdeploy_fam_createleasejrn_rs,,T,RELEASED
1517,1291,customdeploy_fam_modifylease_rs,,T,RELEASED
1518,1292,customdeploy_fam_checkcustreportcols_rs,,T,RELEASED
1519,1293,customdeploy_fam_resxclient_rs,,T,RELEASED
1520,1294,customdeploy_fam_diagnostics_pl,,T,RELEASED
1521,1295,customdeploy_fam_deactivate_lpay_mr,,T,NOTSCHEDULED
1522,1296,customdeploy_fam_revalueasset_mr,,T,NOTSCHEDULED
1523,1297,customdeploy_fam_reportscleanup_mr,,T,NOTSCHEDULED
1524,1298,customdeploy_fam_orphaneddhrsdiag_mr,,T,NOTSCHEDULED
1525,1299,customdeploy_fam_generatedeprsched_mr,,T,NOTSCHEDULED
1526,1300,customdeploy_fam_split_mr,,T,NOTSCHEDULED
1527,1301,customdeploy_fam_postupgradeschk_mr,,T,NOTSCHEDULED
1528,1302,customdeploy_fam_validateasset_mr,,T,NOTSCHEDULED
1529,1303,customdeploy_fam_disposeasset_mr,,T,NOTSCHEDULED
1530,1304,customdeploy_fam_resetassetvals_mr,,T,NOTSCHEDULED
1531,1305,customdeploy_fam_finalizeleaseprop_mr,,T,NOTSCHEDULED
1532,1306,customdeploy_fam_migrate_generic_mr,,T,NOTSCHEDULED
1533,1307,customdeploy_fam_resetjpassets_mr,,T,NOTSCHEDULED
1534,1308,customdeploy_fam_postdepr_mapdhr_mr,,T,NOTSCHEDULED
