scriptid,category,total_hits,file_count,surfaces
custitem_zastro_warranty,zastro,4,4,objects
custitem_spec_sheet_link,keeper_nonla,10,9,filecabinet+objects
custitem_webstore_link,dead_nonla,4,4,objects
custitem_category,adjacent,8,8,objects
custitem_no_of_bulbs,adjacent,4,4,objects
custitem_publish_item,adjacent,3,3,objects
custitem_pr_em_product,adjacent,6,5,filecabinet+objects
custitem_isonline,adjacent,6,6,objects
custitem_usr_item_category,adjacent,5,5,objects
custitemlastpostedtofarapp,farapp,5,5,objects
customrecord_zastro_api_scheduler,zastro_rectype,2,2,filecabinet
customrecord_zastro_la_adhoc_queue,zastro_rectype,0,0,
customrecord_zastro_la_data_dump,zastro_rectype,44,12,filecabinet+objects
customrecord_zastro_la_processor_queue,zastro_rectype,9,3,filecabinet
customrecord_zastro_lights_file_config,zastro_rectype,19,10,filecabinet
customrecord_zastro_lights_items,zastro_rectype,263,53,filecabinet+objects
customrecord_zastro_lights_wishlist_cfg,zastro_rectype,5,2,filecabinet
customrecord_zastro_po_consolid,zastro_rectype,162,61,filecabinet+objects
customrecord_zastro_unconsolidated_items,zastro_rectype,213,48,filecabinet+objects
customrecord_la_csv_row,la_rectype,16,6,filecabinet+objects
customrecord_manufacturer_mapping,la_rectype,17,10,filecabinet+objects
customlist_zastro_lights_prod_action,zastro_list,0,0,
customlist_zastro_lights_p_status,zastro_list,0,0,
customlist_zastro_lights_statuses,zastro_list,0,0,
customlist_zas_tracking_carrier,zastro_list,5,5,filecabinet+objects
customworkflow59,workflow,1,1,objects
customworkflow_la_sku_to_item,workflow,1,1,objects
customworkflow31,workflow,1,1,objects
customworkflow42,workflow,1,1,objects
customworkflow35,workflow,1,1,objects
custcol_pr_prod_url,column,6,4,filecabinet+objects
custcol_webstore_link,column,1,1,objects
custcol_spec_sheet,column,1,1,objects
custcol_premier_is_bulb,column,4,3,filecabinet+objects
custcolcustcol_zastro_vendor,zastro_column,53,45,filecabinet+objects
custcol_zastro_purchase_price,zastro_column,7,5,filecabinet+objects
