scriptid,category
custitem_la_sub_brand,la_field
custitem_la_suffix,la_field
custitem_la_switch,la_field
custitem_la_thumbnail,la_field
custitem_la_title_20,la_field
custitem_la_title_24,la_field
custitem_la_top_to_outlet,la_field
custitem_la_umap,la_field
custitem_la_unique_id,la_identity
custitem_la_unit_increment,la_field
custitem_la_unit_of_measure,la_field
custitem_la_upc,keep20
custitem_la_voltage,keep20
custitem_la_weight_grams,la_field
custitem_la_width,keep20
custitem_la_width_diameter,retire_resolved
custitem_la_wire,la_field
custitemcustitem_la_weight,la_field
custitem_laitem_do_not_update,la_adjacent
custitem_lights_sku,la_identity
custitem5,repurpose
custitem6,protected
custitem7,repurpose
custitem_atlas_closeout,atlas
custitem_atlas_department,atlas
custitem_atlas_item_image,atlas
custitem_atlas_season,atlas
custitem_atlas_style,repurpose
custitem_zastro_image_url,zastro
custitem_zastro_la_updated_at,zastro
custitem_zastro_special_order,zastro
custitem_zastro_warranty,zastro
custitem_spec_sheet_link,keeper_nonla
custitem_webstore_link,dead_nonla
custitem_category,adjacent
custitem_no_of_bulbs,adjacent
custitem_publish_item,adjacent
custitem_pr_em_product,adjacent
custitem_isonline,adjacent
custitem_usr_item_category,adjacent
custitemlastpostedtofarapp,farapp
customrecord_zastro_api_scheduler,zastro_rectype
customrecord_zastro_la_adhoc_queue,zastro_rectype
customrecord_zastro_la_data_dump,zastro_rectype
customrecord_zastro_la_processor_queue,zastro_rectype
customrecord_zastro_lights_file_config,zastro_rectype
customrecord_zastro_lights_items,zastro_rectype
customrecord_zastro_lights_wishlist_cfg,zastro_rectype
customrecord_zastro_po_consolid,zastro_rectype
customrecord_zastro_unconsolidated_items,zastro_rectype
customrecord_la_csv_row,la_rectype
customrecord_manufacturer_mapping,la_rectype
customlist_zastro_lights_prod_action,zastro_list
customlist_zastro_lights_p_status,zastro_list
customlist_zastro_lights_statuses,zastro_list
customlist_zas_tracking_carrier,zastro_list
customworkflow59,workflow
customworkflow_la_sku_to_item,workflow
customworkflow31,workflow
customworkflow42,workflow
customworkflow35,workflow
custcol_pr_prod_url,column
custcol_webstore_link,column
custcol_spec_sheet,column
custcol_premier_is_bulb,column
custcolcustcol_zastro_vendor,zastro_column
custcol_zastro_purchase_price,zastro_column
